id,claim,label
0,"Ông Sơn cho biết việc nâng cấp đường Nguyễn Tất Thành cần đồng bộ với hệ thống công viên, quảng trường và công trình văn hóa ven sông để tạo thành trục cảnh quan mới của TP HCM.",SUPPORTED
1,"Theo ông Sơn, đường Nguyễn Tất Thành nên được mở rộng tối đa ngay cả khi các cầu Thủ Thiêm 3, 4 chưa hoàn thành, vì việc này sẽ phân luồng xe hiệu quả.",REFUTED
2,"Ông Sơn khẳng định việc chỉnh trang đường Nguyễn Tất Thành sẽ hoàn thành vào năm 2025, tạo thành dải không gian văn hóa, công viên, giao thông ven sông Sài Gòn.",NEI
3,"Vào ngày 8 tháng 3 năm 2014, chuyến bay MH370 của Malaysia Airlines đã biến mất bí ẩn ở khu vực cách bờ biển Australia khoảng 1.500 km về phía tây.",SUPPORTED
4,"Tàu hậu cần viễn dương Armada 7806, được đóng vào năm 2024, chở theo 16 người và được trang bị bốn tàu lặn tự hành (AUV) do công ty Kongsberg của Na Uy sản xuất.",REFUTED
5,"Công ty Ocean Infinity, có trụ sở tại Texas, đã sử dụng tàu Armada 7806 để tìm kiếm tàu ngầm hạt nhân USS Scorpion (SSN-589) vào năm 2023.",NEI
6,Anh đã giảm số lượng tiêm kích F-35B dự kiến mua từ 150 chiếc xuống còn 138 chiếc.,SUPPORTED
7,"Vào năm 2022, một tiêm kích F-35B của Không quân Anh đã bị rơi ở Địa Trung Hải do động cơ hút phải một tấm che mưa bằng kim loại.",REFUTED
8,Chiếc tiêm kích F-35B gặp sự cố vào năm 2021 đã được sửa chữa và đưa vào sử dụng trở lại.,NEI
9,"Vào ngày diễn ra cuộc gặp tại Nhà Trắng, Tổng thống Trump đã chỉ trích mạnh mẽ Tổng thống Zelensky trên mạng xã hội Truth Social vì cho rằng ông Zelensky chưa sẵn sàng cho hòa bình nếu có sự tham gia của Mỹ.",SUPPORTED
10,"Vào ngày diễn ra cuộc gặp tại Nhà Trắng, Tổng thống Trump và ông Zelensky đã ký thỏa thuận khoáng sản ngay sau cuộc họp báo chung.",REFUTED
11,"Vào ngày diễn ra cuộc gặp tại Nhà Trắng, Tổng thống Zelensky đã bày tỏ sự không hài lòng về việc bị Tổng thống Trump ngắt lời trong buổi họp báo chung.",NEI
12,"Oanh tạc cơ B-2, được trang bị tủ lạnh mini và lò vi sóng, cho phép phi công chịu được hành trình bay dài hàng chục giờ.",SUPPORTED
13,"Phi công trẻ trên chiếc B-2 thường xuyên quên nhiệm vụ lái máy bay do hệ thống điều khiển kém hiệu quả, dẫn đến việc máy bay phải dừng hoạt động.",REFUTED
14,"Vào năm 2019, một phi công đã thực hiện chuyến bay thử nghiệm kéo dài 30 giờ trên chiếc B-2 mà không cần sử dụng đến chế độ lái tự động.",NEI
15,"Vào ngày 26/4, Đại sứ quán Trung Quốc tại Mỹ đã ra tuyên bố bác bỏ thông tin về các cuộc đàm phán thuế quan và thương mại giữa Trung Quốc và Mỹ.",SUPPORTED
