ID,claim
0,"Đại biểu Nguyễn Minh Tâm, Phó đoàn Quảng Trị, cho biết tỷ lệ người Việt Nam ly hôn, ly thân mỗi năm chiếm khoảng 2,6% dân số."
1,"Theo số liệu của Viện Nghiên cứu Gia đình và Giới năm 2023, cả nước có hơn 90.000 vụ ly hôn, tương đương khoảng 10% tổng số cặp đôi kết hôn."
2,Đại biểu Nguyễn Minh Tâm nhấn mạnh rằng các cặp đôi kết hôn năm 2023 tại Việt Nam có tỷ lệ ly hôn thấp hơn năm 2022.
3,"Vào lúc 8 giờ 17 phút sáng ngày 15 tháng 7, các đặc vụ ICE đã chặn xe của bác sĩ chỉnh hình Mahdi Khanbabazadeh, 38 tuổi, khi ông đang đưa con trai đến trường mẫu giáo Guidepost Montessori ở Beaverton, bang Oregon."
4,"Vào lúc 8 giờ 17 phút sáng ngày 15 tháng 7, các đặc vụ ICE đã phá cửa xe và bắt giữ bác sĩ chỉnh hình Mahdi Khanbabazadeh, 38 tuổi, khi ông đang trên đường đi làm tại bệnh viện ở Beaverton, bang Oregon."
5,Bác sĩ Mahdi Khanbabazadeh đã được thả tự do ngay sau khi xuất trình giấy tờ tùy thân cho các đặc vụ ICE vào sáng ngày 15 tháng 7.
6,"Từ ngày 16/2, Công ty Hosiden tại KCN Quang Châu, với 3.5000 lao động, tăng lương mỗi người một triệu đồng theo ông Nguyễn Văn Tân, Chủ tịch Công đoàn."
7,"Bà Thảo cho biết trong năm 2024, Sunwoda áp dụng chính sách thưởng 3 triệu đồng cho lao động phổ thông mới nhận việc, trả đều trong ba tháng tính từ thời điểm nhận vị trí."
8,"Trong năm 2025, Sunwoda dự kiến sẽ tuyển dụng thêm 5000 công nhân thông qua các kênh tuyển dụng trực tuyến."
9,"Xe cộ cần phải có tín hiệu còi, cờ, đèn theo quy định đã ban hành trước ngày 1 tháng 1 năm 2023."
10,"Xe cộ chỉ cần có tín hiệu đèn theo quy định, không cần còi và cờ."
11,"Quy định về tín hiệu còi, cờ, đèn cho xe cộ được áp dụng tại thành phố Hồ Chí Minh từ năm 2020."
12,"Vào năm 2010, Đạo luật Chăm sóc Sức khỏe Giá cả Phải chăng, hay Obamacare, đã được ban hành tại Mỹ nhằm giúp hàng chục triệu người thu nhập thấp tiếp cận bảo hiểm y tế."
13,Chính phủ Mỹ đã trải qua đợt đóng cửa ngắn nhất trong lịch sử vào năm 2013 do bất đồng về việc gia hạn gói trợ cấp cho Đạo luật Chăm sóc Sức khỏe Giá cả Phải chăng (ACA).
14,"Trước năm 2010, người Mỹ trên 65 tuổi ở các bang miền Nam có thể tiếp cận bảo hiểm y tế thông qua chương trình Medicare."
15,"Năm ngoái, Trung Quốc đã phát hiện một mỏ vàng trữ lượng hơn 1.000 tấn tại tỉnh Hồ Nam và một mỏ khác chứa hơn 40 tấn tại Cam Túc."
16,"Tiêu thụ vàng nội địa Trung Quốc đạt 985,31 tấn vào năm 2023, với nhu cầu về vàng thỏi và tiền xu giảm hơn 24% so với cùng kỳ năm trước."
17,"Trong năm ngoái, Trung Quốc đã xuất khẩu 377,24 tấn vàng, tăng 0,56% so với năm trước đó."
18,"Cầu bắc qua hẻm núi Hoa Giang, có chiều cao 625 m tính từ mặt cầu tới sông bên dưới, đã chính thức thông xe vào ngày 28/9, trở thành biểu tượng kỹ thuật của Trung Quốc."
19,"Bà Zhang Yin, giám đốc sở giao thông vận tải tỉnh Quý Châu, tuyên bố việc thông xe cầu hẻm núi Hoa Giang giúp giảm thời gian đi lại giữa hai bên từ hai giờ xuống còn 15 phút trong họp báo ngày 24/9."
20,Độ cao tương đương hai tháp Eiffel xếp chồng của cầu bắc qua hẻm núi Hoa Giang đã được các kỹ sư Trung Quốc hoàn thành vào năm 2020.
21,"Tại thành phố Yokohama, gia đình Memori Higuchi đã giảm số bữa cơm trong tuần vì giá gạo tăng cao và nguồn cung khan hiếm trong năm qua."
22,"Vào năm 2023, gia đình Memori Higuchi, 31 tuổi, cư dân thành phố Yokohama, đã thay thế gạo nội địa bằng gạo nhập khẩu để tiết kiệm chi phí do giá gạo tăng cao."
23,"Hideyuki Suzuki, chủ tịch Hiệp hội Thẩm định Hương vị gạo Nhật Bản, đã đề xuất các biện pháp cụ thể để hỗ trợ nông dân Nhật Bản sản xuất lúa gạo tại thành phố Yokohama vào năm 2024."
24,Tổng thống Mỹ Donald Trump đã bày tỏ sự không hài lòng và ngụ ý sẵn sàng áp đặt thêm các lệnh trừng phạt mới lên Nga vào ngày 7/9.
25,"Doanh thu năng lượng của Nga từ tháng một đến tháng 8 đã tăng 20% so với cùng kỳ năm 2024, theo Bộ Tài chính Nga."
26,Chính phủ Nga đã sử dụng một phần doanh thu năng lượng giảm để tăng cường chi tiêu cho y tế và giáo dục vào tháng 8 năm 2024.
27,"Tại tỉnh lộ 868, đoạn qua phường 3, thị xã Cai Lậy, gạo sa mơ và gạo thơm được bán với giá 600.000-700.000 đồng mỗi bao 50 kg, rẻ hơn thị trường từ 200.000-400.000 đồng."
28,"Ông Phạm Văn Ca, 54 tuổi, ở xã Nhị Quý, đã mua 20 bao gạo loại 600.000 đồng mỗi bao và cho biết tổng chi phí mua gạo rẻ hơn bình thường 4 triệu đồng."
